Tabella efficiency variazione dimensione file di testo
size/num_thread;1;2;4;8;16;32
77208;1.000000;0.750000;0.750000;0.187500;0.187500;0.046875;
66802;1.000000;1.500000;0.750000;0.187500;0.187500;0.046875;
59914;1.000000;0.500000;0.500000;0.250000;0.125000;0.031250;
50778;1.000000;1.000000;0.500000;0.250000;0.125000;0.062500;
36110;1.000000;1.000000;5.000000;0.250000;0.125000;0.062500;
23730;1.000000;5.000000;0.250000;0.125000;0.625000;0.031250;
