Tabella speedup variazione dimensione file di testo
size/num_thread;1;2;4;8;16;32
77208;1.000000;1.500000;3.000000;1.500000;3.000000;1.500000;
66802;1.000000;3.000000;3.000000;1.500000;3.000000;1.500000;
59914;1.000000;1.000000;2.000000;2.000000;2.000000;1.000000;
50778;1.000000;2.000000;2.000000;2.000000;2.000000;2.000000;
36110;1.000000;2.000000;20.000000;2.000000;2.000000;2.000000;
23730;1.000000;10.000000;1.000000;1.000000;10.000000;1.000000;
