Tabella speedup variazione dimensione pattern
size/num_thread;1;2;4;8;16;32
20;1.000000;1.000000;10.000000;1.000000;10.000000;1.000000;
15;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
10;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
5;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
4;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
2;1.000000;1.000000;20.000000;2.000000;2.000000;2.000000;
