Tabella efficiency variazione dimensione pattern
size/num_thread;1;2;4;8;16;32
20;1.000000;0.500000;2.500000;0.125000;0.625000;0.031250;
15;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
10;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
5;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
4;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;
2;1.000000;0.500000;5.000000;0.250000;0.125000;0.062500;
