Tabella speedup variazione dimensione file di testo
num_thread/size;77208;66802;59914;50778;36110;23730
1;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
2;3.000000;2.000000;1.500000;20.000000;1.000000;1.000000;
4;3.000000;2.000000;3.000000;2.000000;1.000000;10.000000;
8;30.000000;2.000000;3.000000;20.000000;1.000000;10.000000;
16;3.000000;1.000000;3.000000;2.000000;1.000000;10.000000;
32;1.000000;1.000000;1.500000;1.000000;0.500000;1.000000;
