Tabella efficiency variazione dimensione pattern
num_thread/size;20;15;10;5;4;2
1;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
2;5.000000;0.500000;5.000000;0.500000;0.500000;10.000000;
4;2.500000;0.250000;2.500000;0.250000;0.250000;5.000000;
8;1.250000;0.125000;1.250000;0.012500;0.125000;2.500000;
16;0.062500;0.062500;0.625000;0.062500;0.062500;1.250000;
32;0.031250;0.031250;0.312500;0.003125;0.031250;0.625000;
