Tabella speedup variazione dimensione pattern
num_thread/size;20;15;10;5;4;2
1;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;
2;10.000000;1.000000;10.000000;1.000000;1.000000;20.000000;
4;10.000000;1.000000;10.000000;1.000000;1.000000;20.000000;
8;10.000000;1.000000;10.000000;0.100000;1.000000;20.000000;
16;1.000000;1.000000;10.000000;1.000000;1.000000;20.000000;
32;1.000000;1.000000;10.000000;0.100000;1.000000;20.000000;
